,id,reading_time,flesch_reading_score,dale_chall_readability_score,total_paragraphs,avg_sentences_per_para,len_of_longest_paragraph,total_sentences,avg_words_per_sentence,len_of_longest_sentence,total_words,compulsive_hedgers,intensifiers,and_frequency,vague_words_count
0,1305.2720v1,20.06,71.44,5.6,62,5.76,83,357,11.24,101,4012,15,0,2.22 %,9
1,1305.7146v1,40.185,62.61,6.5,138,3.71,63,512,15.7,104,8037,30,8,2.25 %,72
2,0804.1362v2,68.775,63.32,5.7,493,2.45,43,1206,11.41,70,13755,36,6,2.51 %,42
3,1305.3392v2,103.585,56.73,6.0,1241,1.98,55,2461,8.42,81,20717,51,26,2.32 %,97
4,0804.3014v2,63.345,62.51,5.8,317,3.56,144,1128,11.23,97,12669,52,2,2.45 %,68
5,1305.5230v1,78.71,56.79,5.6,824,4.85,73,3994,3.94,137,15742,24,8,2.03 %,44
6,1305.0456v1,121.31,59.53,5.8,381,5.56,149,2118,11.46,110,24262,65,19,2.56 %,93
7,1305.6125v2,17.165,42.92,7.7,192,1.82,37,349,9.84,68,3433,2,0,2.04 %,16
8,0804.0301v1,16.695,74.02,6.2,250,2.07,53,517,6.46,54,3339,1,2,2.07 %,29
9,0804.2834v1,19.405,64.85,6.4,204,2.1,60,428,9.07,42,3881,10,3,2.01 %,33
10,1305.0087v1,69.015,65.19,2.2,1573,1.38,49,2172,6.35,109,13803,75,14,2.2 %,104
11,0804.2077v1,69.49,63.32,5.8,391,2.72,66,1065,13.05,59,13898,28,15,2.46 %,65
12,1305.4253v2,17.29,48.03,6.8,88,3.61,63,318,10.87,96,3458,6,0,2.6 %,25
13,1305.6966v2,38.69,69.72,6.1,236,2.83,40,667,11.6,82,7738,25,5,1.99 %,38
14,0804.1327v2,12.395,74.83,6.0,57,3.86,26,220,11.27,60,2479,7,1,2.5 %,6
15,1305.7103v1,22.98,52.53,6.6,182,2.38,54,433,10.61,94,4596,11,6,1.98 %,30
16,1305.2765v1,24.6,71.58,6.0,98,3.9,31,382,12.88,94,4920,26,6,2.52 %,19
17,0804.0795v1,10.405,58.62,6.6,210,1.64,32,344,6.05,50,2081,0,0,2.79 %,2
